date,views,code,day_month
2014-07-07,14040879,it,07-07
2014-07-08,14647251,it,07-08
2014-07-09,14372184,it,07-09
2014-07-10,14568599,it,07-10
2014-07-11,13697617,it,07-11
2014-07-12,12099063,it,07-12
2014-07-13,13002945,it,07-13
2014-07-14,14941085,it,07-14
2014-07-15,13291215,it,07-15
2014-07-16,12586982,it,07-16
2014-07-17,12301967,it,07-17
2014-07-18,12164492,it,07-18
2014-07-19,10639707,it,07-19
2014-07-20,12084577,it,07-20
2014-07-21,14032407,it,07-21
2014-07-22,13934389,it,07-22
2014-07-23,13645116,it,07-23
2014-07-24,14478752,it,07-24
2014-07-25,12094091,it,07-25
2014-07-26,11551463,it,07-26
2014-07-27,12273240,it,07-27
2014-07-28,13894885,it,07-28
2014-07-29,13409578,it,07-29
2014-07-30,13370382,it,07-30
2014-07-31,13567333,it,07-31
2014-08-01,12751171,it,08-01
2014-08-02,11532701,it,08-02
2014-08-03,11721708,it,08-03
2014-08-04,12634506,it,08-04
2014-08-05,12421492,it,08-05
2014-08-06,12524731,it,08-06
2014-08-07,12000974,it,08-07
2014-08-08,11387850,it,08-08
2014-08-09,10874378,it,08-09
2014-08-10,10875225,it,08-10
2014-08-11,12172469,it,08-11
2014-08-12,13258976,it,08-12
2014-08-13,14045335,it,08-13
2014-08-14,12404632,it,08-14
2014-08-15,11573130,it,08-15
2014-08-16,12552084,it,08-16
2014-08-17,12679544,it,08-17
2014-08-18,14173751,it,08-18
2014-08-19,13082999,it,08-19
2014-08-20,13182119,it,08-20
2014-08-21,13045170,it,08-21
2014-08-22,14062955,it,08-22
2014-08-23,14596077,it,08-23
2014-08-24,12948679,it,08-24
2014-08-25,15002596,it,08-25
2014-08-26,15002547,it,08-26
2014-08-27,12911565,it,08-27
2014-08-28,12066023,it,08-28
2014-08-29,14712234,it,08-29
2014-08-30,12964014,it,08-30
2014-08-31,13998862,it,08-31
2014-09-01,16754944,it,09-01
2014-09-02,17045105,it,09-02
2014-09-03,16086245,it,09-03
2014-09-04,15845874,it,09-04
2014-09-05,16376165,it,09-05
2014-09-06,13211112,it,09-06
2014-09-07,16441690,it,09-07
2014-09-08,16934028,it,09-08
2014-09-09,16092666,it,09-09
2014-09-10,15624807,it,09-10
2014-09-11,15756948,it,09-11
2014-09-12,15369511,it,09-12
2014-09-13,12976214,it,09-13
2014-09-14,13671296,it,09-14
2014-09-15,16050799,it,09-15
2014-09-16,15237611,it,09-16
2014-09-17,16484117,it,09-17
2014-09-18,15304763,it,09-18
2014-09-19,14618607,it,09-19
2014-09-20,12205793,it,09-20
2014-09-21,13103984,it,09-21
2014-09-22,15164294,it,09-22
2014-09-23,14944747,it,09-23
2014-09-24,14572360,it,09-24
2014-09-25,14828042,it,09-25
2014-09-26,13642107,it,09-26
2014-09-27,11889762,it,09-27
2014-09-28,13301500,it,09-28
2014-09-29,14113101,it,09-29
2014-09-30,14145400,it,09-30
2014-10-01,21700843,it,10-01
2014-10-02,21827831,it,10-02
2014-10-03,21295349,it,10-03
2014-10-04,19827194,it,10-04
2014-10-05,20451196,it,10-05
2014-10-06,23500782,it,10-06
2014-10-07,23413796,it,10-07
2014-10-08,22133085,it,10-08
2014-10-09,21156904,it,10-09
2014-10-10,20620161,it,10-10
2014-10-11,20091107,it,10-11
2014-10-12,23150264,it,10-12
2014-10-13,24214480,it,10-13
2014-10-14,22931162,it,10-14
2014-10-15,21388413,it,10-15
2014-10-16,19866266,it,10-16
2014-10-17,18390436,it,10-17
2014-10-18,16699614,it,10-18
2014-10-19,18881957,it,10-19
2014-10-20,20585988,it,10-20
2014-10-21,20138205,it,10-21
2014-10-22,20613918,it,10-22
2014-10-23,19261718,it,10-23
2014-10-24,19159034,it,10-24
2014-10-25,18012644,it,10-25
2014-10-26,19945126,it,10-26
2014-10-27,20580086,it,10-27
2014-10-28,20159436,it,10-28
2014-10-29,19568180,it,10-29
2014-10-30,18532144,it,10-30
2014-10-31,17176517,it,10-31
2014-11-01,17540450,it,11-01
2014-11-02,20098317,it,11-02
2014-11-03,20673963,it,11-03
2014-11-04,21007480,it,11-04
2014-11-05,20777697,it,11-05
2014-11-06,21251007,it,11-06
2014-11-07,19841103,it,11-07
2014-11-08,18143437,it,11-08
2014-11-09,20269026,it,11-09
2014-11-10,21284657,it,11-10
2014-11-11,21311154,it,11-11
2014-11-12,21702345,it,11-12
2014-11-13,21207066,it,11-13
2014-11-14,19587115,it,11-14
2014-11-15,18959891,it,11-15
2014-11-16,20516150,it,11-16
2014-11-17,20570903,it,11-17
2014-11-18,19813223,it,11-18
2014-11-19,19386063,it,11-19
2014-11-20,19003002,it,11-20
2014-11-21,19011355,it,11-21
2014-11-22,17915196,it,11-22
2014-11-23,19806907,it,11-23
2014-11-24,20134083,it,11-24
2014-11-25,19735518,it,11-25
2014-11-26,19225287,it,11-26
2014-11-27,19366017,it,11-27
2014-11-28,18977191,it,11-28
2014-11-29,18257390,it,11-29
2014-11-30,20419798,it,11-30
2014-12-01,20327143,it,12-01
2014-12-02,19772733,it,12-02
2014-12-03,20354168,it,12-03
2014-12-04,19643417,it,12-04
2014-12-05,19383462,it,12-05
2014-12-06,17437575,it,12-06
2014-12-07,19472864,it,12-07
2014-12-08,20839942,it,12-08
2014-12-09,20148027,it,12-09
2014-12-10,19223181,it,12-10
2014-12-11,18306094,it,12-11
2014-12-12,18573827,it,12-12
2014-12-13,18125122,it,12-13
2014-12-14,19543199,it,12-14
2014-12-15,19846594,it,12-15
2014-12-16,19601846,it,12-16
2014-12-17,18924783,it,12-17
2014-12-18,18602314,it,12-18
2014-12-19,17372334,it,12-19
2014-12-20,17382173,it,12-20
2014-12-21,18288726,it,12-21
2014-12-22,18384212,it,12-22
2014-12-23,17779132,it,12-23
2014-12-24,16409080,it,12-24
2014-12-25,15419113,it,12-25
2014-12-26,19227007,it,12-26
2014-12-27,18983302,it,12-27
2014-12-28,20610143,it,12-28
2014-12-29,20060910,it,12-29
2014-12-30,19906169,it,12-30
2014-12-31,16028457,it,12-31
2015-01-01,18635359,it,01-01
2015-01-02,21065185,it,01-02
2015-01-03,21180192,it,01-03
2015-01-04,22283052,it,01-04
2015-01-05,22947911,it,01-05
2015-01-06,22081059,it,01-06
2015-01-07,21687938,it,01-07
2015-01-08,21803514,it,01-08
2015-01-09,21199420,it,01-09
2015-01-10,19806309,it,01-10
2015-01-11,22597445,it,01-11
2015-01-12,22848154,it,01-12
2015-01-13,22172219,it,01-13
2015-01-14,22254941,it,01-14
2015-01-15,21511261,it,01-15
2015-01-16,21594018,it,01-16
2015-01-17,20896727,it,01-17
2015-01-18,23309811,it,01-18
2015-01-19,23018407,it,01-19
2015-01-20,21838049,it,01-20
2015-01-21,22200330,it,01-21
2015-01-22,21361726,it,01-22
2015-01-23,20476014,it,01-23
2015-01-24,18729582,it,01-24
2015-01-25,21801060,it,01-25
2015-01-26,26113885,it,01-26
2015-01-27,24408658,it,01-27
2015-01-28,21669774,it,01-28
2015-01-29,23250054,it,01-29
2015-01-30,21081364,it,01-30
2015-01-31,21376012,it,01-31
2015-02-01,22117645,it,02-01
2015-02-02,21659838,it,02-02
2015-02-03,21037673,it,02-03
2015-02-04,20506119,it,02-04
2015-02-05,21118389,it,02-05
2015-02-06,20609780,it,02-06
2015-02-07,18820091,it,02-07
2015-02-08,21048942,it,02-08
2015-02-09,21689627,it,02-09
2015-02-10,22581056,it,02-10
2015-02-11,21722601,it,02-11
2015-02-12,21311437,it,02-12
2015-02-13,19708143,it,02-13
2015-02-14,19762156,it,02-14
2015-02-15,22081546,it,02-15
2015-02-16,21732216,it,02-16
2015-02-17,21087715,it,02-17
2015-02-18,21452374,it,02-18
2015-02-19,20640959,it,02-19
2015-02-20,19488856,it,02-20
2015-02-21,19565816,it,02-21
2015-02-22,22154624,it,02-22
2015-02-23,22522252,it,02-23
2015-02-24,22412594,it,02-24
2015-02-25,21691591,it,02-25
2015-02-26,19034494,it,02-26
2015-02-27,19297911,it,02-27
2015-02-28,18691951,it,02-28
2015-03-01,20342668,it,03-01
2015-03-02,21009743,it,03-02
2015-03-03,21071047,it,03-03
2015-03-04,20874880,it,03-04
2015-03-05,21648155,it,03-05
2015-03-06,20154081,it,03-06
2015-03-07,19160674,it,03-07
2015-03-08,20876158,it,03-08
2015-03-09,20912601,it,03-09
2015-03-10,21127890,it,03-10
2015-03-11,20464952,it,03-11
2015-03-12,19837943,it,03-12
2015-03-13,18435791,it,03-13
2015-03-14,17704060,it,03-14
2015-03-15,21158072,it,03-15
2015-03-16,21084195,it,03-16
2015-03-17,20222104,it,03-17
2015-03-18,20026981,it,03-18
2015-03-19,18667364,it,03-19
2015-03-20,18134156,it,03-20
2015-03-21,18050936,it,03-21
2015-03-22,21189789,it,03-22
2015-03-23,20499963,it,03-23
2015-03-24,20343653,it,03-24
2015-03-25,20808424,it,03-25
2015-03-26,20950239,it,03-26
2015-03-27,20298897,it,03-27
2015-03-28,17736736,it,03-28
2015-03-29,19879693,it,03-29
2015-03-30,22380832,it,03-30
2015-03-31,21053648,it,03-31
2015-04-01,19261566,it,04-01
2015-04-02,18859780,it,04-02
2015-04-03,18634711,it,04-03
2015-04-04,18538766,it,04-04
2015-04-05,18768540,it,04-05
2015-04-06,19067495,it,04-06
2015-04-07,23073901,it,04-07
2015-04-08,21334557,it,04-08
2015-04-09,20221939,it,04-09
2015-04-10,19378243,it,04-10
2015-04-11,17933028,it,04-11
2015-04-12,20050970,it,04-12
2015-04-13,21056011,it,04-13
2015-04-14,20658257,it,04-14
2015-04-15,20362863,it,04-15
2015-04-16,20869192,it,04-16
2015-04-17,19649221,it,04-17
2015-04-18,18027617,it,04-18
2015-04-19,21212517,it,04-19
2015-04-20,20430155,it,04-20
2015-04-21,21426832,it,04-21
2015-04-22,20760181,it,04-22
2015-04-23,20088323,it,04-23
2015-04-24,19557151,it,04-24
2015-04-25,19807726,it,04-25
2015-04-26,22284593,it,04-26
2015-04-27,22835432,it,04-27
2015-04-28,21063278,it,04-28
2015-04-29,19591130,it,04-29
2015-04-30,18063642,it,04-30
2015-05-01,19785162,it,05-01
2015-05-02,19427111,it,05-02
2015-05-03,21493590,it,05-03
2015-05-04,21467735,it,05-04
2015-05-05,20669935,it,05-05
2015-05-06,19418041,it,05-06
2015-05-07,19797517,it,05-07
2015-05-08,19228320,it,05-08
2015-05-09,17711440,it,05-09
2015-05-10,18953024,it,05-10
2015-05-11,20449147,it,05-11
2015-05-12,21423801,it,05-12
2015-05-13,21130311,it,05-13
2015-05-14,20200095,it,05-14
2015-05-15,19662174,it,05-15
2015-05-16,18071600,it,05-16
2015-05-17,19135788,it,05-17
2015-05-18,20764847,it,05-18
2015-05-19,20930640,it,05-19
2015-05-20,21216267,it,05-20
2015-05-21,21502350,it,05-21
2015-05-22,20167641,it,05-22
2015-05-23,19366874,it,05-23
2015-05-24,21778051,it,05-24
2015-05-25,21999773,it,05-25
2015-05-26,21819221,it,05-26
2015-05-27,20576862,it,05-27
2015-05-28,20105986,it,05-28
2015-05-29,19117305,it,05-29
2015-05-30,18699703,it,05-30
2015-05-31,19538160,it,05-31
2015-06-01,19998076,it,06-01
2015-06-02,20038168,it,06-02
2015-06-03,19973782,it,06-03
2015-06-04,19918717,it,06-04
2015-06-05,19165234,it,06-05
2015-06-06,18030476,it,06-06
2015-06-07,19391179,it,06-07
2015-06-08,20749137,it,06-08
2015-06-09,21741888,it,06-09
2015-06-10,20569232,it,06-10
2015-06-11,19711681,it,06-11
2015-06-12,18304595,it,06-12
2015-06-13,17114777,it,06-13
2015-06-14,19842584,it,06-14
2015-06-15,20332795,it,06-15
2015-06-16,19062104,it,06-16
2015-06-17,18658242,it,06-17
2015-06-18,17433499,it,06-18
2015-06-19,17325892,it,06-19
2015-06-20,17024326,it,06-20
2015-06-21,18288366,it,06-21
2015-06-22,19267281,it,06-22
2015-06-23,19067142,it,06-23
2015-06-24,18474867,it,06-24
2015-06-25,18327620,it,06-25
2015-06-26,17000322,it,06-26
2015-06-27,14814058,it,06-27
2015-06-28,16370632,it,06-28
2015-06-29,18369359,it,06-29
2015-06-30,17920555,it,06-30
2014-01-01,189366120,en,01-01
2014-01-02,219200355,en,01-02
2014-01-03,217694732,en,01-03
2014-01-04,205296487,en,01-04
2014-01-05,42291762,en,01-05
2014-01-06,82564574,en,01-06
2014-01-07,249259750,en,01-07
2014-01-08,253480986,en,01-08
2014-01-09,251795977,en,01-09
2014-01-10,239829359,en,01-10
2014-01-11,214357844,en,01-11
2014-01-12,229497037,en,01-12
2014-01-13,258309555,en,01-13
2014-01-14,248348297,en,01-14
2014-01-15,251349017,en,01-15
2014-01-16,253278814,en,01-16
2014-01-17,241916525,en,01-17
2014-01-18,217771613,en,01-18
2014-01-19,231595519,en,01-19
2014-01-20,250046548,en,01-20
2014-01-21,253111292,en,01-21
2014-01-22,250763150,en,01-22
2014-01-23,246906933,en,01-23
2014-01-24,239069793,en,01-24
2014-01-25,213777994,en,01-25
2014-01-26,230589339,en,01-26
2014-01-27,265033134,en,01-27
2014-01-28,253842405,en,01-28
2014-01-29,244138039,en,01-29
2014-01-30,246401346,en,01-30
2014-01-31,235646973,en,01-31
2014-02-01,212725964,en,02-01
2014-02-02,232423558,en,02-02
2014-02-03,252937857,en,02-03
2014-02-04,252544916,en,02-04
2014-02-05,248199667,en,02-05
2014-02-06,249939873,en,02-06
2014-02-07,251134387,en,02-07
2014-02-08,219348621,en,02-08
2014-02-09,232850790,en,02-09
2014-02-10,255954123,en,02-10
2014-02-11,249715632,en,02-11
2014-02-12,248996097,en,02-12
2014-02-13,239465219,en,02-13
2014-02-14,230082995,en,02-14
2014-02-15,211467790,en,02-15
2014-02-16,228269525,en,02-16
2014-02-17,253088003,en,02-17
2014-02-18,249109703,en,02-18
2014-02-19,245520857,en,02-19
2014-02-20,245074828,en,02-20
2014-02-21,232854138,en,02-21
2014-02-22,212298755,en,02-22
2014-02-23,227377019,en,02-23
2014-02-24,256165026,en,02-24
2014-02-25,254831484,en,02-25
2014-02-26,248858772,en,02-26
2014-02-27,247141651,en,02-27
2014-02-28,229865859,en,02-28
2014-03-01,211190364,en,03-01
2014-03-02,229186312,en,03-02
2014-03-03,266804548,en,03-03
2014-03-04,255814690,en,03-04
2014-03-05,251489662,en,03-05
2014-03-06,248902395,en,03-06
2014-03-07,236428206,en,03-07
2014-03-08,211558174,en,03-08
2014-03-09,229186373,en,03-09
2014-03-10,252684320,en,03-10
2014-03-11,254633040,en,03-11
2014-03-12,256983279,en,03-12
2014-03-13,250201929,en,03-13
2014-03-14,230084282,en,03-14
2014-03-15,204802619,en,03-15
2014-03-16,224997823,en,03-16
2014-03-17,258729689,en,03-17
2014-03-18,253738962,en,03-18
2014-03-19,253433648,en,03-19
2014-03-20,257990054,en,03-20
2014-03-21,237107484,en,03-21
2014-03-22,212265127,en,03-22
2014-03-23,229505216,en,03-23
2014-03-24,258741042,en,03-24
2014-03-25,255666041,en,03-25
2014-03-26,250178387,en,03-26
2014-03-27,246840268,en,03-27
2014-03-28,233969261,en,03-28
2014-03-29,211919147,en,03-29
2014-03-30,228651778,en,03-30
2014-03-31,260444153,en,03-31
2014-04-01,253574668,en,04-01
2014-04-02,247870494,en,04-02
2014-04-03,249317114,en,04-03
2014-04-04,238651816,en,04-04
2014-04-05,202137436,en,04-05
2014-04-06,223302857,en,04-06
2014-04-07,263496341,en,04-07
2014-04-08,263965037,en,04-08
2014-04-09,257838954,en,04-09
2014-04-10,248609968,en,04-10
2014-04-11,235664318,en,04-11
2014-04-12,212017485,en,04-12
2014-04-13,223622790,en,04-13
2014-04-14,257565098,en,04-14
2014-04-15,260282107,en,04-15
2014-04-16,250829581,en,04-16
2014-04-17,236481475,en,04-17
2014-04-18,214835065,en,04-18
2014-04-19,194633590,en,04-19
2014-04-20,206742924,en,04-20
2014-04-21,239829903,en,04-21
2014-04-22,250104831,en,04-22
2014-04-23,249428962,en,04-23
2014-04-24,247749615,en,04-24
2014-04-25,241101850,en,04-25
2014-04-26,214950735,en,04-26
2014-04-27,234014691,en,04-27
2014-04-28,269789374,en,04-28
2014-04-29,272976516,en,04-29
2014-04-30,254859626,en,04-30
2014-05-01,261254476,en,05-01
2014-05-02,260145490,en,05-02
2014-05-03,234821964,en,05-03
2014-05-04,250910968,en,05-04
2014-05-05,278604348,en,05-05
2014-05-06,272648726,en,05-06
2014-05-07,256217038,en,05-07
2014-05-08,253176844,en,05-08
2014-05-09,256458942,en,05-09
2014-05-10,229465223,en,05-10
2014-05-11,240874673,en,05-11
2014-05-12,271994835,en,05-12
2014-05-13,262949475,en,05-13
2014-05-14,269905401,en,05-14
2014-05-15,243306941,en,05-15
2014-05-16,231825634,en,05-16
2014-05-17,198816264,en,05-17
2014-05-18,226254437,en,05-18
2014-05-19,254953310,en,05-19
2014-05-20,265337136,en,05-20
2014-05-21,259402345,en,05-21
2014-05-22,248329048,en,05-22
2014-05-23,227197746,en,05-23
2014-05-24,206142079,en,05-24
2014-05-25,213935283,en,05-25
2014-05-26,229771394,en,05-26
2014-05-27,244625109,en,05-27
2014-05-28,238308834,en,05-28
2014-05-29,237430318,en,05-29
2014-05-30,221514118,en,05-30
2014-05-31,196699247,en,05-31
2014-06-01,209718594,en,06-01
2014-06-02,244631069,en,06-02
2014-06-03,246113714,en,06-03
2014-06-04,231648525,en,06-04
2014-06-05,232658388,en,06-05
2014-06-06,239036434,en,06-06
2014-06-07,212265342,en,06-07
2014-06-08,215750673,en,06-08
2014-06-09,245932986,en,06-09
2014-06-10,242166443,en,06-10
2014-06-11,231272651,en,06-11
2014-06-12,230763694,en,06-12
2014-06-13,230976199,en,06-13
2014-06-14,200662250,en,06-14
2014-06-15,204844101,en,06-15
2014-06-16,229474187,en,06-16
2014-06-17,227749489,en,06-17
2014-06-18,220569984,en,06-18
2014-06-19,216584576,en,06-19
2014-06-20,206518877,en,06-20
2014-06-21,182404357,en,06-21
2014-06-22,192920940,en,06-22
2014-06-23,217531755,en,06-23
2014-06-24,219667509,en,06-24
2014-06-25,223376651,en,06-25
2014-06-26,219603953,en,06-26
2014-06-27,210690270,en,06-27
2014-06-28,184242915,en,06-28
2014-06-29,192053709,en,06-29
2014-06-30,215522413,en,06-30
2014-07-01,210124591,en,07-01
2014-07-02,213129466,en,07-02
2014-07-03,211330590,en,07-03
2014-07-04,197519116,en,07-04
2014-07-05,178339028,en,07-05
2014-07-06,193054524,en,07-06
2014-07-07,225069762,en,07-07
2014-07-08,227250561,en,07-08
2014-07-09,236022418,en,07-09
2014-07-10,230307759,en,07-10
2014-07-11,227734767,en,07-11
2014-07-12,201221494,en,07-12
2014-07-13,204137422,en,07-13
2014-07-14,242371791,en,07-14
2014-07-15,233136180,en,07-15
2014-07-16,230787902,en,07-16
2014-07-17,228563792,en,07-17
2014-07-18,219485617,en,07-18
2014-07-19,194159585,en,07-19
2014-07-20,198409624,en,07-20
2014-07-21,228217750,en,07-21
2014-07-22,227371460,en,07-22
2014-07-23,230942408,en,07-23
2014-07-24,234377378,en,07-24
2014-07-25,222767253,en,07-25
2014-07-26,191136924,en,07-26
2014-07-27,199169359,en,07-27
2014-07-28,229569195,en,07-28
2014-07-29,225343669,en,07-29
2014-07-30,234490593,en,07-30
2014-07-31,235517588,en,07-31
2014-08-01,224025824,en,08-01
2014-08-02,202127876,en,08-02
2014-08-03,206234287,en,08-03
2014-08-04,234015602,en,08-04
2014-08-05,230522541,en,08-05
2014-08-06,227371226,en,08-06
2014-08-07,226555294,en,08-07
2014-08-08,216108254,en,08-08
2014-08-09,193049456,en,08-09
2014-08-10,207085940,en,08-10
2014-08-11,229236776,en,08-11
2014-08-12,240684060,en,08-12
2014-08-13,235941802,en,08-13
2014-08-14,222622705,en,08-14
2014-08-15,210276567,en,08-15
2014-08-16,190485107,en,08-16
2014-08-17,202571209,en,08-17
2014-08-18,228045348,en,08-18
2014-08-19,226163350,en,08-19
2014-08-20,225639741,en,08-20
2014-08-21,223621230,en,08-21
2014-08-22,217077809,en,08-22
2014-08-23,194762465,en,08-23
2014-08-24,203447837,en,08-24
2014-08-25,228564925,en,08-25
2014-08-26,228272105,en,08-26
2014-08-27,197294134,en,08-27
2014-08-28,179263155,en,08-28
2014-08-29,223035950,en,08-29
2014-08-30,202002891,en,08-30
2014-08-31,211208248,en,08-31
2014-09-01,230095997,en,09-01
2014-09-02,244612761,en,09-02
2014-09-03,300860908,en,09-03
2014-09-04,296290498,en,09-04
2014-09-05,277973159,en,09-05
2014-09-06,246438536,en,09-06
2014-09-07,272621705,en,09-07
2014-09-08,299251159,en,09-08
2014-09-09,321109430,en,09-09
2014-09-10,317878974,en,09-10
2014-09-11,286187616,en,09-11
2014-09-12,259398298,en,09-12
2014-09-13,201079396,en,09-13
2014-09-14,217660298,en,09-14
2014-09-15,286476896,en,09-15
2014-09-16,314792317,en,09-16
2014-09-17,245623807,en,09-17
2014-09-18,235192439,en,09-18
2014-09-19,223197639,en,09-19
2014-09-20,197509024,en,09-20
2014-09-21,205590606,en,09-21
2014-09-22,238799750,en,09-22
2014-09-23,247280864,en,09-23
2014-09-24,244763788,en,09-24
2014-09-25,236608446,en,09-25
2014-09-26,228800989,en,09-26
2014-09-27,197168673,en,09-27
2014-09-28,217474505,en,09-28
2014-09-29,239441389,en,09-29
2014-09-30,234421132,en,09-30
2014-10-01,329397954,en,10-01
2014-10-02,319576985,en,10-02
2014-10-03,304508536,en,10-03
